post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Sat Aug 17 14:13:00 +0000 2019,"I never really learned how to cook. I’m finally learning my way around the kitchen, though, thanks to Robert Hand: https://t.co/AJdkDB7fzE https://t.co/g3pQw4fxpZ",806,1,2,1,1,0,14,0,never really learned cook finally learning way around kitchen though thanks robert hand,0.7269,0.357,0.643,0.0
Wed Aug 14 20:13:00 +0000 2019,Four billion people are at risk from mosquito-borne diseases. We can get that number down to zero if we invest in new tools — like a set of techniques for genetically modifying mosquitoes — to complement the ones we already have. https://t.co/YSemQDFsw6,1815,1,1,0,1,0,20,0,four billion people risk mosquitoborne diseases get number zero invest new tools like set techniques genetically modifying mosquitoes complement ones already,0.1779,0.159,0.753,0.088
Wed Aug 14 11:48:00 +0000 2019,I learned a lot from Washington State Teacher of the Year @_MrHand about creating a classroom where kids want to be (and he taught me how to make BBQ chicken). https://t.co/V1XHZDy4GG,513,1,1,0,1,0,11,0,learned lot washington state teacher year mrhand creating classroom kids want taught make bbq chicken,0.3612,0.212,0.788,0.0
Tue Aug 13 14:32:17 +0000 2019,"Melinda and I are big fans of @DonorsChoose, and we were thrilled to learn that @WKamauBell is, too. Today, when you support teachers as they prepare to go back to school, your donation will get a 50% boost from our foundation: https://t.co/Klc2UIOcnw https://t.co/fHxSjoiFPl",786,1,2,1,1,0,14,0,melinda big fans donorschoose thrilled learn wkamaubell today support teachers prepare go back school donation get 50 boost foundation,0.8074,0.342,0.658,0.0
Tue Aug 13 11:30:00 +0000 2019,"When teachers have the right tools, there’s no telling where it will take them. Today, when you give to @DonorsChoose, @gatesfoundation will boost your donation by 50%. I hope you’ll join us in supporting teachers. https://t.co/v8oWcwGhYF",1154,1,1,0,1,0,11,0,teachers right tools theres telling take today give donorschoose gatesfoundation boost donation 50 hope youll join us supporting teachers,0.8658,0.416,0.584,0.0
Sat Aug 10 15:33:55 +0000 2019,Being poor isn’t cheap. It’s hundreds of times more expensive to use charging stations than it is to charge a phone at home. That’s just one of the hidden costs of unreliable electricity: https://t.co/1RTxaL1chd https://t.co/ymKCJo83em,2119,1,2,1,1,0,15,0,poor isnt cheap hundreds times expensive use charging stations charge phone home thats hidden costs unreliable electricity,-0.4767,0.0,0.838,0.162
Fri Aug 09 14:20:28 +0000 2019,"Whenever I want to understand something better, I pick up a book. Here are some of the best ones I’ve read so far this year: https://t.co/Q9RFZW6uid #BookLoversDay https://t.co/wwg8lsG3jI",2129,1,2,1,1,0,14,1,whenever want understand something better pick book best ones ive read far year bookloversday,0.8126,0.433,0.567,0.0
Wed Aug 07 16:57:44 +0000 2019,There is no question that reliable electricity unlocks a better life for people. But can we power the world without contributing to climate change? I think we can: https://t.co/33sGjLspfT https://t.co/NRjXc2HReH,1042,1,2,1,1,0,16,0,question reliable electricity unlocks better life people power world without contributing climate change think,0.4404,0.182,0.818,0.0
Mon Aug 05 17:48:29 +0000 2019,"Think back to the last time you experienced a power outage. If you live in New York, you don’t have to think that far back! Now imagine what it would be like not to have access to electricity at all. Nearly one billion people face that reality every day. https://t.co/4jg2JC7EVQ",1503,1,1,0,1,0,17,0,think back last time experienced power outage live new york dont think far back imagine would like access electricity nearly billion people face reality every day,0.3612,0.091,0.909,0.0
Thu Aug 01 17:21:00 +0000 2019,"Five years ago, India was declared polio-free. This incredible milestone was made possible by the health workers, governments, partners, and donors who didn’t rest until every child was reached. I can’t wait to see what India achieves next. https://t.co/p5G2WuwPZb",2100,1,1,0,1,0,17,0,five years ago india declared poliofree incredible milestone made possible health workers governments partners donors didnt rest every child reached cant wait see india achieves next,0.1027,0.053,0.947,0.0
Mon Jul 29 18:42:01 +0000 2019,"What if we really are all in this together? In this fascinating book, @NAChristakis explains why and how humans evolved to work together: https://t.co/SkaMiLYjkn https://t.co/l8gzfoWYCu",700,1,2,1,1,0,18,0,really together fascinating book nachristakis explains humans evolved work together,0.5829,0.296,0.704,0.0
Mon Jul 29 15:00:01 +0000 2019,10 breakthrough technologies that could help us feed the world and fight climate change at the same time. https://t.co/u8zStX4iwQ,1382,1,1,0,1,0,15,0,10 breakthrough technologies could help us feed world fight climate change time,0.0258,0.176,0.654,0.17
Mon Jul 29 00:00:00 +0000 2019,It's hard to overstate how important finding a better diagnostic is for fighting #Alzheimers. That’s why I’m investing in new ideas for easier and more accurate diagnosis of the disease. https://t.co/WM9phNmyJo,2139,1,1,0,1,0,0,1,hard overstate important finding better diagnostic fighting alzheimers thats investing new ideas easier accurate diagnosis disease,0.5574,0.335,0.491,0.174
Fri Jul 26 16:18:00 +0000 2019,"If you read one article about climate change this week, check out this one from @voxdotcom. Government support for energy R&amp;D is one of the best opportunities to fight climate change. https://t.co/fke57WYxM3",1469,1,1,0,1,0,16,0,read article climate change week check voxdotcom government support energy rampd best opportunities fight climate change,0.8402,0.46,0.437,0.103
