post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Sun Nov 11 17:16:02 +0000 2018,Thank you to all veterans for your service and for the sacrifices you've made to protect our freedom. Our doodle today honors you and your stories. https://t.co/dhTBsYJaus,356,1,1,0,1,0,17,0,thank veterans service sacrifices youve made protect freedom doodle today honors stories,0.9118,0.612,0.388,0.0
Fri Nov 09 20:40:15 +0000 2018,"We are mobilizing to support those impacted by the #CampFire, #HillFire and #WoolseyFire with SOS Alerts, and committing resources from @googleorg to aid those in need. Our thoughts are with all those displaced by these fires.",320,1,1,0,1,0,20,3,mobilizing support impacted campfire hillfire woolseyfire sos alerts committing resources googleorg aid need thoughts displaced fires,0.4588,0.222,0.778,0.0
Fri Nov 09 06:00:51 +0000 2018,RT @stshank: The @GoogleAI and @googlecloud folks are helping the @nytimes process 5-7 million analog photos from its morgue dating back to…,118,1,1,0,1,0,6,0,rt stshank googleai googlecloud folks helping nytimes process 57 million analog photos morgue dating back,0.296,0.136,0.864,0.0
Tue Nov 06 17:34:13 +0000 2018,RT @Google: Go Vote: Here’s where to find the information you need to make your voice heard on #ElectionDay.,2369,1,1,0,1,0,17,1,rt google go vote heres find information need make voice heard electionday,0.0,0.0,1.0,0.0
Tue Nov 06 06:48:26 +0000 2018,RT @AndrewCrow: Amazing change to Google's site. #GoVote https://t.co/cnQwJp09TI,779,1,2,1,1,0,6,1,rt andrewcrow amazing change googles site govote,0.5859,0.388,0.612,0.0
Mon Oct 29 18:00:52 +0000 2018,"We’re announcing our AI for Social Good program, applying @GoogleAI expertise to projects w/ positive societal impact. We invite researchers &amp; orgs to submit ideas for the #GoogleAI Impact Challenge: @googleorg will fund $25M in grants to chosen projects https://t.co/W3BMoueTYo",1360,1,1,0,1,0,18,1,announcing ai social good program applying googleai expertise projects w positive societal impact invite researchers amp orgs submit ideas googleai impact challenge googleorg fund 25m grants chosen projects,0.8519,0.339,0.661,0.0
Tue Oct 23 05:39:50 +0000 2018,RT @guardian: Google Home Hub review: the smart display to buy https://t.co/SELJ1z7Huh,55,1,1,0,1,0,5,0,rt guardian google home hub review smart display buy,0.4019,0.252,0.748,0.0
Tue Oct 23 03:30:11 +0000 2018,"RT @SusanWojcicki: Proud to share that earlier today, we announced that YouTube is investing $20M in YouTube Learning, a new initiative to…",294,1,1,0,1,0,3,0,rt susanwojcicki proud share earlier today announced youtube investing 20m youtube learning new initiative,0.6486,0.306,0.694,0.0
Mon Oct 22 20:20:21 +0000 2018,"Happy 10th birthday @Android! Many thanks to all of our users, developers and partners around the world! #HBDAndroid https://t.co/62iIGiD5Lv",2097,1,2,1,1,0,20,1,happy 10th birthday android many thanks users developers partners around world hbdandroid,0.765,0.398,0.602,0.0
Thu Oct 18 15:14:36 +0000 2018,"RT @Google: To bring American Sign Language to #Gboard, we collaborated with Deaf artist and advocate Jessica Flores to create a collection…",256,1,1,0,1,0,15,1,rt google bring american sign language gboard collaborated deaf artist advocate jessica flores create collection,0.2732,0.13,0.87,0.0
Wed Oct 17 06:23:26 +0000 2018,RT @SusanWojcicki: YouTube is back.  Sorry to everyone who was impacted. Thank you to the teams who resolved this. https://t.co/703DvCgzE5,195,1,1,0,1,0,6,0,rt susanwojcicki youtube back sorry everyone impacted thank teams resolved,0.4404,0.336,0.56,0.104
Tue Oct 16 03:07:23 +0000 2018,Always great to catch up with @stevenlevy - enjoyed our chat about AI and the future of tech. Thanks @wired for having me! #WIRED25 https://t.co/pNEp04Wc42,172,1,2,1,1,0,3,1,always great catch stevenlevy enjoyed chat ai future tech thanks wired wired25,0.8834,0.534,0.466,0.0
Mon Oct 15 22:52:48 +0000 2018,We lost a great technology pioneer today - thank you Paul Allen for your immense contributions to the world through your work and your philanthropy. Thoughts are with his family and the entire Microsoft community.,1336,1,1,0,1,0,22,0,lost great technology pioneer today thank paul allen immense contributions world work philanthropy thoughts family entire microsoft community,0.6486,0.276,0.628,0.096
