post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Wed May 15 00:08:26 +0000 2019,It’s easy to be overwhelmed by climate change and what to do about it. I recently wrote about why I’m optimistic we can prevent the worst from happening: https://t.co/J4sntwJFRO https://t.co/Ygnxjwy5Om,723,1,2,1,1,0,0,0,easy overwhelmed climate change recently wrote optimistic prevent worst happening,0.1027,0.452,0.301,0.247
Mon May 13 16:08:37 +0000 2019,"A fascinating discussion with computer scientist @drfeifei, historian @harari_yuval, and journalist @nxthompson on the future of AI. https://t.co/6gXSOZ5oLo",951,1,1,0,1,0,16,0,fascinating discussion computer scientist drfeifei historian harariyuval journalist nxthompson future ai,0.5423,0.259,0.741,0.0
Sun May 12 22:09:07 +0000 2019,"My mom was one of the most generous people I’ve ever known. If I grew up #WithoutMom, I wouldn’t be the man I am today. Join the fight against preventable maternal deaths so that no child grows up without a mother. https://t.co/8MaSCBW012",1589,1,1,0,1,0,22,1,mom generous people ive ever known grew withoutmom wouldnt man today join fight preventable maternal deaths child grows without mother,-0.0485,0.133,0.686,0.181
Sun May 12 14:52:29 +0000 2019,"All my life I’ve been surrounded by remarkable women. And I was moved when Melinda decided to write about two of them — my mother and my grandmother — in her new book, The #MomentofLift. Happy #MotherDay to all the amazing mothers out there! https://t.co/syfEgdIz2N",1375,1,2,1,1,0,14,2,life ive surrounded remarkable women moved melinda decided write two mother grandmother new book momentoflift happy motherday amazing mothers,0.9022,0.41,0.59,0.0
Sat May 11 17:31:12 +0000 2019,"This fascinating #dataviz looks at how the global population pyramid is changing. With the right investments in health and education, young people at the bottom of the pyramid will drive tremendous growth and innovation. https://t.co/uvx1gFL7pu",1007,1,1,0,1,0,17,1,fascinating dataviz looks global population pyramid changing right investments health education young people bottom pyramid drive tremendous growth innovation,0.8271,0.352,0.648,0.0
Fri May 10 02:56:04 +0000 2019,I was touched when Melinda asked me to introduce her at her #MomentofLift book tour stop in Seattle tonight. I wanted to do right by her but wasn’t sure what the best approach was -- so I turned to someone with some expertise in this area… https://t.co/AYKp6MPC6E,1984,1,2,1,1,0,2,1,touched melinda asked introduce momentoflift book tour stop seattle tonight wanted right wasnt sure best approach turned someone expertise area,-0.7601,0.0,0.693,0.307
Thu May 09 16:33:47 +0000 2019,2018 National Teacher of the Year @MandyRheaWrites told me about the remarkable resilience of her students. I was inspired by their stories and Mandy’s ability to connect with them: https://t.co/rMLfrtVrHv #ThankATeacher https://t.co/d7re2bbUet,325,1,2,1,1,0,16,1,2018 national teacher year mandyrheawrites told remarkable resilience students inspired stories mandys ability connect thankateacher,0.8442,0.431,0.569,0.0
Wed May 08 14:29:43 +0000 2019,I really enjoyed spending time with 2017 WA State Teacher of the Year @farmtableteach. She showed me a neat lesson that can be used to teach science and engineering to students as young as 5 years old: https://t.co/iBbGi2Iu18 #ThankATeacher https://t.co/NenWzBfdIZ,841,1,2,1,1,0,14,1,really enjoyed spending time 2017 wa state teacher year farmtableteach showed neat lesson used teach science engineering students young 5 years old thankateacher,0.7645,0.248,0.752,0.0
Tue May 07 21:45:00 +0000 2019,"For Teacher Appreciation Week, I’ll be highlighting some of the most impactful lessons I’ve learned from educators in my home state. 2019 WA State Teacher of the Year @_MrHand showed me how he could build lesson plans that resonate with every student. #ThankATeacher https://t.co/aRYp7klSy1",357,1,2,1,1,0,21,1,teacher appreciation week ill highlighting impactful lessons ive learned educators home state 2019 wa state teacher year mrhand showed could build lesson plans resonate every student thankateacher,0.128,0.106,0.804,0.09
Tue May 07 21:24:03 +0000 2019,"RT @GatesUS: No one has more insight than teachers into what makes a classroom tick, or how to reach &amp; inspire a struggling student. 

Happ…",173,1,1,0,1,0,21,0,rt gatesus insight teachers makes classroom tick reach amp inspire struggling student happ,0.25,0.273,0.568,0.159
Mon May 06 18:34:51 +0000 2019,I’ve learned a lot from the career of this real-life Sherlock Holmes: https://t.co/LhCRp52KgN https://t.co/0GnuegjFep,490,1,2,1,1,0,18,0,ive learned lot career reallife sherlock holmes,0.0,0.0,1.0,0.0
Sat May 04 19:43:24 +0000 2019,"Melinda and I love meeting with people who are trying to change the world. Here are four of the people who inspired Melinda when she set out to write her new book, The #MomentofLift. https://t.co/SiJCanAna1",654,1,1,0,1,0,19,1,melinda love meeting people trying change world four people inspired melinda set write new book momentoflift,0.8126,0.346,0.654,0.0
Fri May 03 13:50:51 +0000 2019,What does a “dirt detective” do for a living? I’m eager to watch this talk from soil scientist Asmeret Asefaw Berhe about how we can use soil to fight climate change. @TEDTalks https://t.co/X6EKzhlKfU,984,1,1,0,1,0,13,0,dirt detective living eager watch talk soil scientist asmeret asefaw berhe use soil fight climate change tedtalks,-0.3612,0.116,0.651,0.233
Thu May 02 21:58:14 +0000 2019,"A few months ago, Fred contributed a piece to my blog which outlined why educating the next generation of African leaders will be so important. https://t.co/wCLJIENm6g",343,1,1,0,1,0,21,0,months ago fred contributed piece blog outlined educating next generation african leaders important,0.2023,0.13,0.87,0.0
Thu May 02 21:58:14 +0000 2019,"By the end of the century, almost half of the young people in the world will be in sub-Saharan Africa. https://t.co/ZiBfAgjpxx",792,1,2,1,1,0,21,0,end century almost half young people world subsaharan africa,0.0,0.0,1.0,0.0
Thu May 02 21:58:13 +0000 2019,.@FredSwaniker has an ambitious plan to unlock the talents of young Africans. I was thrilled to see him featured in the latest issue of #TIME100. https://t.co/9PParcGi6q,609,1,1,0,1,0,21,1,fredswaniker ambitious plan unlock talents young africans thrilled see featured latest issue time100,0.8402,0.474,0.526,0.0
Thu May 02 15:47:01 +0000 2019,It’s hard for me to overstate how brave people who fight outbreaks are. They face a near-impossible task with grace under pressure: https://t.co/dZi32udwDm https://t.co/rYFftiE7Wu,527,1,2,1,1,0,15,0,hard overstate brave people fight outbreaks face nearimpossible task grace pressure,0.25,0.337,0.326,0.337
Wed May 01 23:08:51 +0000 2019,Congratulations @SueDHellmann on your 5th anniversary @gatesfoundation. Your leadership on some of the world’s toughest challenges inspires me. https://t.co/gEQGO9MrV7,239,1,1,0,1,0,23,0,congratulations suedhellmann 5th anniversary gatesfoundation leadership worlds toughest challenges inspires,0.7783,0.526,0.39,0.084
Wed May 01 16:30:01 +0000 2019,The world’s historic progress to #endpolio would not be possible without the strong commitment of partners like @MohamedBinZayed and the UAE: https://t.co/MedY3Ta6vx https://t.co/FgCCRjTzG9,600,1,2,1,1,0,16,1,worlds historic progress endpolio would possible without strong commitment partners like mohamedbinzayed uae,0.1063,0.276,0.469,0.255
Tue Apr 30 16:31:51 +0000 2019,"If you enjoyed the @Avengers this weekend, I think you’ll be inspired by these real-life heroes: https://t.co/51u5y77EqZ https://t.co/0EqePCsPIH",1108,1,2,1,1,0,16,0,enjoyed avengers weekend think youll inspired reallife heroes,0.8689,0.662,0.338,0.0
